"","titulo","autor","precio","enlace","id_libro","editorial","paginas","anio","precio_pag"
"105","DESCUBRE TUS FORTALEZAS",NA,"23770.00","https://cuspide.com/producto/descubre-tus-fortalezas/",105,"REVERTE
","384
","01/01/2021
",61.9010416666667
"106","RECURSOS HUMANOS  CHAMPIONS","ULRICH, DAVE","53900.00","https://cuspide.com/producto/recursos-humanos-champions/",106,"GRANICA
","440
","01/01/1997
",122.5
"107","LA GUIA COMPLETA PARA LA VENTA DE OPCIONES","CORDIER, JAMES","66900.00","https://cuspide.com/producto/la-guia-completa-para-la-venta-de-opciones/",107,"PROFIT
","438
","01/01/2023
",152.739726027397
"108","MARKETING 5.0","KOTLER, PHILLIP; KARTAJAYA, HE...","34900.00","https://cuspide.com/producto/marketing-5-0/",108,"LID
","216
","01/01/2022
",161.574074074074
"109","LA ORGANIZACION SIN MIEDO","EDMONDSON, AMY","32300.00","https://cuspide.com/producto/la-organizacion-sin-miedo/",109,"ARPA EDITORES
","288
","01/01/2025
",112.152777777778
"110","EL DOLAR","LUZZI, MARIANA","27990.00","https://cuspide.com/producto/el-dolar/",110,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","328
","01/01/2025
",85.3353658536585
"111","LA NUEVA ERA DE LAS MARCAS","ROMEO, MARCELO","23900.00","https://cuspide.com/producto/la-nueva-era-de-las-marcas/",111,"GRANICA
","10
","01/01/2025
",2390
"112","ADMINISTRACION DEL SIGLO XXI","BONATTI, PATRICIA","33042.00","https://cuspide.com/producto/administracion-del-siglo-xxi/",112,"Pluma Digital Ediciones
","450
","01/01/2020
",73.4266666666667
"113","LA FATAL ARROGANCIA [ED. ESPA¥A]","HAYEK, FRIEDRICH A.","25000.00","https://cuspide.com/producto/la-fatal-arrogancia-ed-espa%c2%a5a/",113,"Unión Editorial
","270
","01/01/2023
",92.5925925925926
"114","VOLVER A KEYNES","KICILLOF, AXEL","31990.00","https://cuspide.com/producto/volver-a-keynes/",114,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","496
","01/01/2025
",64.4959677419355
"115","IGUALDAD","PIKETTY, THOMAS; SANDEL, MICHA...","25999.00","https://cuspide.com/producto/igualdad/",115,"DEBATE
","152
","01/01/2025
",171.046052631579
"116","REINVENTAR LAS ORGANIZACIONES","LALOUX, FREDERIC","33900.00","https://cuspide.com/producto/reinventar-las-organizaciones/",116,"ARPA EDITORES
","496
","01/01/2018
",68.3467741935484
"117","INTRODUCCION A LA CONTABILIDAD Y LAS FINANZAS","AMAT, ORIOL","46200.00","https://cuspide.com/producto/introduccion-a-la-contabilidad-y-las-finanzas/",117,"PROFIT
","288
","01/01/2019
",160.416666666667
"118","CAMINO DE LIBERTAD","STIGLITZ, JOSEPH E.","38299.00","https://cuspide.com/producto/camino-de-libertad/",118,"TAURUS
","408
","01/01/2024
",93.8700980392157
"119","DOLARIZACIONES","WILKIS, ARIEL","28000.00","https://cuspide.com/producto/dolarizaciones/",119,"FONDO DE CULTURA ECONOMICA
","10
","01/01/2024
",2800
"120","STORYTELLING","BUSTER, BOBETTE","20500.00","https://cuspide.com/producto/storytelling-2/",120,"KOAN
","136
","01/01/2020
",150.735294117647
"121","CON EXPORTAR MAS NO ALCANZA","CANTAMUTTO, SCHORR","24190.00","https://cuspide.com/producto/con-exportar-mas-no-alcanza/",121,"SIGLO VEINTIUNO EDITORES ARGENTINA S.A.
","208
","01/01/2024
",116.298076923077
"122","REINVENTAR LAS ORGANIZACIONES","LALOUX, FREDERIC","35100.00","https://cuspide.com/producto/reinventar-las-organizaciones-2/",122,"ARPA EDITORES
","172
","01/01/2020
",204.06976744186
"123","RETIRATE JOVEN Y RICO","KIYOSAKI, ROBERT T.","30899.00","https://cuspide.com/producto/retirate-joven-y-rico/",123,"DEBOLSILLO
","576
","01/01/2024
",53.6440972222222
"124","IMPUESTO AL VALOR AGREGADO",NA,"5700.00","https://cuspide.com/producto/impuesto-al-valor-agregado-2/",124,"ERREPAR
","10
","01/01/2024
",570
"125","FACTURACION Y REGISTRACION",NA,"6000.00","https://cuspide.com/producto/facturacion-y-registracion/",125,"ERREPAR
","10
","01/01/2024
",600
"126","SIGUEME  EL PODER DE UN VERDADERO LIDER","MAXWELL, JOHN C.","20000.00","https://cuspide.com/producto/sigueme-el-poder-de-un-verdadero-lider/",126,"CAPICUA
","160
","01/01/2024
",125
"127","MANUAL DE TASACIONES","GUERRERO, DANTE","26186.00","https://cuspide.com/producto/manual-de-tasaciones/",127,"ALSINA
","304
","01/01/1994
",86.1381578947368
"128","GUIA ARGENTINA DE FRANQUICIAS 2024",NA,"30000.00","https://cuspide.com/producto/guia-argentina-de-franquicias-2024/",128,"ROBERTO RUSSO
","356
","01/01/2024
",84.2696629213483
"129","LA SOLUCION DE LOS INNOVADORES","CHRISTENSEN, CLAYTON","41700.00","https://cuspide.com/producto/la-solucion-de-los-innovadores/",129,"GRANICA
","354
","01/01/2023
",117.796610169492
"130","ENERGIA Y MOTIVACION",NA,"15536.00","https://cuspide.com/producto/energia-y-motivacion/",130,"REVERTE
","10
","01/01/2023
",1553.6
"131","PIENSA ESTRATEGICAMENTE",NA,"29484.00","https://cuspide.com/producto/piensa-estrategicamente/",131,"REVERTE
","10
","01/01/2023
",2948.4
"132","MANEJO DE LA COMUNICACION ORGANIZACIONAL","ALVAREZ, JESUS TIMOTEO","25956.00","https://cuspide.com/producto/manejo-de-la-comunicacion-organizacional/",132,"DIAZ DE SANTOS
","10
","01/01/2013
",2595.6
"133","ESTADISTICA NO PARAMETRICA  A MODO DE INTRODUCCION","FERNANDEZ LOUREIRO, EMMA","18050.00","https://cuspide.com/producto/estadistica-no-parametrica-a-modo-de-introduccion/",133,"COOPERATIVAS
","138
","01/01/2000
",130.797101449275
"134","ADN PYME","LOIDI, JONATAN","39600.00","https://cuspide.com/producto/adn-pyme/",134,"GRANICA
","276
","01/01/2022
",143.478260869565
"135","PARAISOS FISCALES E INFIERNOS TRIBUTARIOS","LITWAK, MARTIN","18099.00","https://cuspide.com/producto/paraisos-fiscales-e-infiernos-tributarios/",135,"GRUPO LASER
","160
","01/01/2020
",113.11875
"136","EL AUTENTICO LIDERAZGO",NA,"15536.00","https://cuspide.com/producto/el-autentico-liderazgo/",136,"REVERTE
","10
","01/01/2019
",1553.6
"137","EL JUEGO DEL DINERO","KIYOSAKI, ROBERT T.","26999.00","https://cuspide.com/producto/el-juego-del-dinero/",137,"DEBOLSILLO
","376
","01/01/2019
",71.8058510638298
"138","MARKETING DIGITAL PARA LOS QUE NO SABEN MARKETING DIGITAL","GIRALDEZ, GONZALO","34900.00","https://cuspide.com/producto/marketing-digital-para-los-que-no-saben-marketing-digital/",138,"LID
","152
","01/01/2022
",229.605263157895
"139","LA PARADOJA","HUNTER, JAMES C.","21800.00","https://cuspide.com/producto/la-paradoja/",139,"EMPRESA ACTIVA
","176
","01/01/2011
",123.863636363636
